,agrup_dato,fecha_corte,Codigo Ejecutivo,Antigüedad,cargo,canal,catt,region,cum tarjetas,cum seguros,cum creditos,Tarjetas,Seguros,Creditos,antiguedad_cod,metas_tarjetas,metas_seguros,metas_creditos
0,EJECUTIVO,2025-01-31,1111755,Mas de 5 años,Servicio,888586,ÉXITO SOLEDAD,COSTAS,200.0,146.347145242311,225.04219700000002,6,59,15.19034829,3: Mayor a 5 años,3,40,6
1,EJECUTIVO,2025-01-31,1638016,Entre 1 y 5 años,Servicio,305020,ÉXITO SAN PEDRO NEIVA,BOGOTA CENTRO,175.0,76.5079333333333,229.60418900000002,7,36,19.80336126,2: Entre 1 y 5 años,4,47,8
2,EJECUTIVO,2025-01-31,1259264,Mas de 5 años,Servicio,305019,ÉXITO IBAGUE,BOGOTA Y CERCANIAS,175.0,105.314918285456,205.378126,7,43,11.55251956,3: Mayor a 5 años,4,40,5
3,EJECUTIVO,2025-01-31,1505990,Mas de 5 años,Servicio,882775,ÉXITO OCAÑA,SANTANDERES BOYACA,285.0,107.475302370585,64.60593,9,42,4.19938546,3: Mayor a 5 años,3,39,6
4,EJECUTIVO,2025-01-31,1823149,Menos de 6 meses,Comercial,305005,ÉXITO CALLE 80,BOGOTA CENTRO,77.5,91.0508571428571,86.057957,31,12,5.85194106,0: Menos de 6 meses,40,13,6
5,EJECUTIVO,2025-01-31,1624381,Mas de 5 años,Servicio,305047,ÉXITO CAÑAVERAL,SANTANDERES BOYACA,285.0,131.528777777777,121.55930800000002,9,58,5.7436773,3: Mayor a 5 años,3,44,4
6,EJECUTIVO,2025-01-31,1163924,Menos de 6 meses,Comercial,305021,ÉXITO VILLAVICENCIO,BOGOTA CENTRO,44.0,1.20047619047619,198.862156,11,2,8.40192609,0: Menos de 6 meses,25,166,4
8,EJECUTIVO,2025-01-31,1080834,Mas de 5 años,Comercial,305066,ÉXITO SAN FRANCISCO,COSTAS,92.857143,94.3423010671561,56.444869,13,30,3.6689165,3: Mayor a 5 años,13,31,6
10,EJECUTIVO,2025-01-31,1499660,Mas de 5 años,Servicio,305038,ÉXITO METROPOLITANO,COSTAS,166.666667,70.30196808510631,231.287878,5,33,19.4281794,3: Mayor a 5 años,2,46,8
11,EJECUTIVO,2025-01-31,1603694,Menos de 6 meses,Comercial,305017,ÉXITO BELLO,ANTIOQUIA,65.151515,64.9734285714285,251.36080299999998,43,7,16.33845217,0: Menos de 6 meses,66,10,6
12,EJECUTIVO,2025-01-31,1371797,Entre 1 y 5 años,Comercial,305017,ÉXITO BELLO,ANTIOQUIA,74.242424,152.129476190476,262.74780400000003,49,26,17.07860729,2: Entre 1 y 5 años,66,17,6
13,EJECUTIVO,2025-01-31,1261254,entre 6 meses y 1 año,Comercial,305061,ÉXITO BUENAVISTA SANTA MARTA,COSTAS,109.52381,79.8403128049032,176.022773,23,19,11.44148027,1: Entre 6 meses y 1 año,20,23,6
14,EJECUTIVO,2025-01-31,1777166,Entre 1 y 5 años,Comercial,305052,ÉXITO ROBLEDO,ANTIOQUIA,87.5,99.58542857142851,255.54068,21,10,8.30507209,2: Entre 1 y 5 años,24,10,3
15,EJECUTIVO,2025-01-31,1879162,entre 6 meses y 1 año,Comercial,400138,ÉXITO LLANOGRANDE,ANTIOQUIA,73.913043,78.7956845238095,63.369893,17,14,1.7794266,1: Entre 6 meses y 1 año,23,17,2
16,EJECUTIVO,2025-01-31,1837351,Mas de 5 años,Comercial,305022,ÉXITO UNICENTRO CALI,ANTIOQUIA,36.0,72.2327619047619,383.1614891346155,18,29,32.92813819,3: Mayor a 5 años,50,40,3
17,EJECUTIVO,2025-01-31,1658388,Mas de 5 años,Comercial,305018,ÉXITO BUCARAMANGA,SANTANDERES BOYACA,60.0,123.54166666666599,122.347723,24,18,6.75971172,3: Mayor a 5 años,40,14,5
18,EJECUTIVO,2025-01-31,1090907,Mas de 5 años,Servicio,305022,ÉXITO UNICENTRO CALI,ANTIOQUIA,200.0,101.51424,383.1614891346155,8,53,21.74899848,3: Mayor a 5 años,4,52,3
19,EJECUTIVO,2025-01-31,1218184,Entre 1 y 5 años,Comercial,305027,ÉXITO SUBA,BOGOTA CENTRO,94.871795,73.2227619047619,186.910825,37,14,12.7566638,2: Entre 1 y 5 años,38,19,6
20,EJECUTIVO,2025-01-31,1894633,Mas de 5 años,Servicio,305055,ÉXITO SAN MATEO CUCUTA,SANTANDERES BOYACA,150.0,64.0822277227722,281.393737,6,42,14.77317119,3: Mayor a 5 años,4,65,5
21,EJECUTIVO,2025-01-31,1547441,Mas de 5 años,Servicio,305087,ÉXITO CENTRO VILLAVICENCIO,BOGOTA CENTRO,233.33333299999998,148.037483333333,207.534824,7,54,9.80602044,3: Mayor a 5 años,3,36,4
22,EJECUTIVO,2025-01-31,1174322,Mas de 5 años,Comercial,305068,ÉXITO CASTELLANA,COSTAS,105.26315799999999,125.53090476190401,42.333652,20,24,3.30202482,3: Mayor a 5 años,18,19,7
23,EJECUTIVO,2025-01-31,1072589,Mas de 5 años,Servicio,305988,ÉXITO TUNAL,BOGOTA Y CERCANIAS,285.0,2.7283549783549703,162.550762,7,4,3.413566,3: Mayor a 5 años,2,146,2
24,EJECUTIVO,2025-01-31,1844933,Mas de 5 años,Servicio,305068,ÉXITO CASTELLANA,COSTAS,133.333333,104.000445340489,29.554364,4,65,2.10574842,3: Mayor a 5 años,3,62,7
25,EJECUTIVO,2025-01-31,1395231,Mas de 5 años,Comercial,305038,ÉXITO METROPOLITANO,COSTAS,100.0,46.7448275862068,270.65256,14,17,15.83317478,3: Mayor a 5 años,14,36,5
26,EJECUTIVO,2025-01-31,1574268,Mas de 5 años,Comercial,400173,ÉXITO UNICENTRO GIRARDOT,BOGOTA Y CERCANIAS,24.0,57.155380952380895,43.058882999999994,6,9,1.95917917,3: Mayor a 5 años,25,15,4
27,EJECUTIVO,2025-01-31,1976180,Mas de 5 años,Servicio,305842,ÉXITO BOSA,BOGOTA Y CERCANIAS,285.0,50.8019179894179,230.18866999999997,4,14,7.76886761,3: Mayor a 5 años,1,27,3
28,EJECUTIVO,2025-01-31,1673630,Mas de 5 años,Servicio,879095,ÉXITO SIMON BOLIVAR,ANTIOQUIA,200.0,64.3626762820513,358.731926,2,21,8.93242495,3: Mayor a 5 años,1,32,2
29,EJECUTIVO,2025-01-31,1818447,Entre 1 y 5 años,Comercial,305003,ÉXITO ENVIGADO,ANTIOQUIA,42.857143,27.8857142857142,369.382267,39,4,24.00984733,2: Entre 1 y 5 años,90,14,6
30,EJECUTIVO,2025-01-31,1111128,entre 6 meses y 1 año,Comercial,305057,ÉXITO ALAMEDAS,COSTAS,103.703704,31.4224848484848,173.07773799999998,28,11,12.37505826,1: Entre 6 meses y 1 año,26,35,7
31,EJECUTIVO,2025-01-31,1286988,Menos de 6 meses,Comercial,305013,ÉXITO LA COLINA,BOGOTA Y CERCANIAS,38.095238095238095,0.0,0.0,8,0,0.0,0: Menos de 6 meses,21,0,0
33,EJECUTIVO,2025-01-31,1096221,Menos de 6 meses,Comercial,305053,ÉXITO ALAMOS,BOGOTA CENTRO,40.0,0.0,24.3260655,8,0,0.97304262,0: Menos de 6 meses,20,0,4
34,EJECUTIVO,2025-01-31,1644310,entre 6 meses y 1 año,Comercial,305037,ÉXITO PASTO,ANTIOQUIA,37.5,40.6152523394385,0.0,9,19,0.0,1: Entre 6 meses y 1 año,24,46,0
35,EJECUTIVO,2025-01-31,1528289,Mas de 5 años,Servicio,888587,ÉXITO FLORENCIA,BOGOTA CENTRO,275.0,80.7874300012419,135.697887,11,27,10.1773415,3: Mayor a 5 años,4,33,7
36,EJECUTIVO,2025-01-31,1711437,Mas de 5 años,Comercial,881414,ÉXITO FLORESTA,BOGOTA CENTRO,35.714286,29.9337619047619,180.794889,10,5,5.96623133,3: Mayor a 5 años,27,16,3
38,EJECUTIVO,2025-01-31,1883925,Entre 1 y 5 años,Servicio,878915,ÉXITO UNICENTRO ARMENIA,ANTIOQUIA,285.0,77.9127509367796,265.898476,20,50,21.93662424,2: Entre 1 y 5 años,4,64,8
39,EJECUTIVO,2025-01-31,1642512,Entre 1 y 5 años,Comercial,863224,ÉXITO PIEDECUESTA,SANTANDERES BOYACA,35.0,112.83224919006601,154.05167,7,30,6.50868307,2: Entre 1 y 5 años,20,26,4
40,EJECUTIVO,2025-01-31,1436804,Menos de 6 meses,Comercial,305005,ÉXITO CALLE 80,BOGOTA CENTRO,37.5,50.6579047619047,293.375515,15,7,19.94953502,0: Menos de 6 meses,40,13,6
41,EJECUTIVO,2025-01-31,1174489,Mas de 5 años,Comercial,305842,ÉXITO BOSA,BOGOTA Y CERCANIAS,62.85714300000001,77.1641045548654,379.436238,22,17,24.95931571,3: Mayor a 5 años,34,22,6
42,EJECUTIVO,2025-01-31,0,entre 6 meses y 1 año,Comercial,305014,ÉXITO VILLAMAYOR,BOGOTA Y CERCANIAS,93.220339,44.982833333333296,383.1614891346155,55,8,20.45214119,1: Entre 6 meses y 1 año,58,17,4
43,EJECUTIVO,2025-01-31,1874423,Menos de 6 meses,Comercial,305055,ÉXITO SAN MATEO CUCUTA,SANTANDERES BOYACA,40.0,0.0,0.0,8,0,0.0,0: Menos de 6 meses,20,0,0
45,EJECUTIVO,2025-01-31,1380966,Menos de 6 meses,Comercial,305043,ÉXITO FACATATIVA,BOGOTA Y CERCANIAS,107.14285699999999,131.516142857142,63.670859,15,26,3.51781496,0: Menos de 6 meses,14,19,5
46,EJECUTIVO,2025-01-31,1417716,Menos de 6 meses,Comercial,305078,ÉXITO CAUCASIA,COSTAS,106.451613,109.41755386127,141.84714300000002,33,45,10.14207074,0: Menos de 6 meses,30,41,7
47,EJECUTIVO,2025-01-31,1695853,Entre 1 y 5 años,Comercial,882775,ÉXITO OCAÑA,SANTANDERES BOYACA,105.0,129.97377879747302,226.842565,21,10,13.61055391,2: Entre 1 y 5 años,20,7,6
48,EJECUTIVO,2025-01-31,1203492,Mas de 5 años,Servicio,305047,ÉXITO CAÑAVERAL,SANTANDERES BOYACA,200.0,0.636904761904761,0.0,2,3,0.0,3: Mayor a 5 años,1,471,0
49,EJECUTIVO,2025-01-31,1051585,entre 6 meses y 1 año,Comercial,305030,ÉXITO TULUA,ANTIOQUIA,50.0,11.4279761904761,135.13573000000002,13,4,4.00542303,1: Entre 6 meses y 1 año,26,35,2
